epoch,MaP,MaP@[IoU=50],MaP@[IoU=75],MaP@[area=large],MaP@[area=medium],MaP@[area=small],Recall@[area=large],Recall@[area=medium],Recall@[area=small],Recall@[max_detections=100],Recall@[max_detections=10],Recall@[max_detections=1],box_loss,class_loss,loss,val_box_loss,val_class_loss,val_loss
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2398319244384766,168.39535522460938,171.63516235351562,5.008370399475098,153.46986389160156,158.47821044921875
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3655190467834473,45.002262115478516,47.36776351928711,4.170846462249756,57.56361389160156,61.73445129394531
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9859354496002197,11.71522045135498,13.701157569885254,4.528805255889893,30.525087356567383,35.05390167236328
3,0.037970297038555145,0.11138613522052765,0.014851485379040241,0.0,0.046782176941633224,0.05445544421672821,0.0,0.05000000074505806,0.07647059112787247,0.054999999701976776,0.054999999701976776,0.042500000447034836,1.7061396837234497,3.1529009342193604,4.859041213989258,2.9489059448242188,4.484131813049316,7.433038711547852
4,0.3408758044242859,0.5502576231956482,0.4335015118122101,0.0,0.39163368940353394,0.3208827078342438,0.0,0.44565218687057495,0.34175825119018555,0.37552082538604736,0.37552082538604736,0.08645833283662796,1.4599761962890625,1.3427655696868896,2.8027427196502686,2.0246589183807373,1.4507867097854614,3.4754459857940674
5,0.5717051029205322,0.8897361159324646,0.7111035585403442,0.0,0.6050112843513489,0.6055564880371094,0.0,0.6489130258560181,0.6593406796455383,0.6234375238418579,0.6234375238418579,0.08645833283662796,1.2640633583068848,0.8475520610809326,2.1116156578063965,1.3461024761199951,0.8059754371643066,2.152078151702881
6,0.6854415535926819,0.9725233912467957,0.8914525508880615,0.5171617269515991,0.7323575019836426,0.6744241714477539,0.5222222208976746,0.791304349899292,0.7219780087471008,0.7458333373069763,0.745312511920929,0.09479166567325592,1.1467427015304565,0.6326277852058411,1.7793703079223633,1.1826235055923462,0.6068835854530334,1.789507269859314
7,0.5555009841918945,0.909041166305542,0.6707801222801208,0.35297030210494995,0.4725646376609802,0.6977410912513733,0.36666667461395264,0.522826075553894,0.7384615540504456,0.6177083253860474,0.6177083253860474,0.07760416716337204,1.061875343322754,0.5265897512435913,1.5884652137756348,1.2011651992797852,0.6114506125450134,1.8126155138015747
8,0.6044055819511414,0.9382206797599792,0.7364022135734558,0.023762376978993416,0.5746775269508362,0.7056872248649597,0.02222222276031971,0.625,0.7439560294151306,0.653124988079071,0.653124988079071,0.08802083134651184,0.9802348017692566,0.4480132460594177,1.4282476902008057,1.2974435091018677,0.5179407000541687,1.8153842687606812
9,0.7464044094085693,0.9595974087715149,0.9202592372894287,0.28844884037971497,0.8287159204483032,0.724396288394928,0.30000001192092896,0.8597826361656189,0.7538461685180664,0.7833333611488342,0.7833333611488342,0.10520832985639572,0.9116188287734985,0.39252859354019165,1.3041472434997559,0.9990306496620178,0.4274670481681824,1.4264978170394897
10,0.7718384861946106,0.999541699886322,0.9796306490898132,0.657779335975647,0.7638226747512817,0.8053657412528992,0.699999988079071,0.814130425453186,0.8384615182876587,0.8203125,0.8203125,0.09375,0.8573312163352966,0.3596692979335785,1.2170007228851318,0.9193937182426453,0.35785216093063354,1.277246117591858
11,0.8119701147079468,0.9993858933448792,0.9993858933448792,0.7868812084197998,0.8287443518638611,0.8000067472457886,0.8111110925674438,0.8673912882804871,0.8263736367225647,0.8453124761581421,0.8453124761581421,0.10833333432674408,0.8343049883842468,0.33438679575920105,1.1686917543411255,0.8223966360092163,0.35513320565223694,1.1775298118591309
12,0.8006253838539124,1.0,0.9894286394119263,0.787977397441864,0.8173958659172058,0.798565149307251,0.8222222328186035,0.8467391133308411,0.8296703100204468,0.8374999761581421,0.8374999761581421,0.11041666567325592,0.8243820667266846,0.3177884519100189,1.1421704292297363,0.7923461198806763,0.3159700036048889,1.1083163022994995
13,0.7910295724868774,1.0,0.9871596693992615,0.7376237511634827,0.7718486189842224,0.8296607136726379,0.7555555701255798,0.820652186870575,0.8538461327552795,0.8333333134651184,0.8333333134651184,0.10260416567325592,0.7672434449195862,0.2963789403438568,1.0636224746704102,0.8444899916648865,0.3105166554450989,1.1550068855285645
14,0.8332091569900513,1.0,1.0,0.7987898588180542,0.8992690443992615,0.7990465760231018,0.8111110925674438,0.925000011920929,0.8417582511901855,0.8802083134651184,0.8802083134651184,0.109375,0.7531040906906128,0.28325155377388,1.0363556146621704,0.6956830620765686,0.27172598242759705,0.9674092531204224
15,0.8403011560440063,1.0,0.9998974204063416,0.7991089224815369,0.8793408870697021,0.8220216631889343,0.8111110925674438,0.9010869860649109,0.8439560532569885,0.8697916865348816,0.8697916865348816,0.1145833358168602,0.7238678336143494,0.2686964273452759,0.9925642013549805,0.7052121758460999,0.2553747594356537,0.9605867266654968
16,0.79511559009552,1.0,0.9793564081192017,0.7857920527458191,0.8392702341079712,0.7617547512054443,0.8222222328186035,0.8706521987915039,0.8164834976196289,0.8427083492279053,0.8427083492279053,0.10364583134651184,0.6974937319755554,0.2576706111431122,0.9551644921302795,0.7717357277870178,0.2505277991294861,1.022263526916504
17,0.8583249449729919,1.0,1.0,0.8007013201713562,0.8927749991416931,0.8337344527244568,0.8222222328186035,0.91847825050354,0.8483516573905945,0.8807291388511658,0.8807291388511658,0.11354167014360428,0.6766144633293152,0.24755579233169556,0.9241702556610107,0.6484017968177795,0.24457646906375885,0.8929781913757324
18,0.8746957182884216,1.0,1.0,0.7493634819984436,0.8799581527709961,0.8834887742996216,0.7666666507720947,0.9097825884819031,0.91318678855896,0.9046875238418579,0.9046875238418579,0.11249999701976776,0.6726083159446716,0.24106039106845856,0.9136685132980347,0.6239879131317139,0.230770543217659,0.8547585010528564
19,0.8505228161811829,1.0,1.0,0.7350561618804932,0.8559194803237915,0.8578962087631226,0.7666666507720947,0.8815217614173889,0.8747252821922302,0.8729166388511658,0.8729166388511658,0.11562500149011612,0.645048201084137,0.22927416861057281,0.8743224143981934,0.6726957559585571,0.23411451280117035,0.9068104028701782
20,0.8508658409118652,1.0,1.0,0.7859657406806946,0.8721266984939575,0.8451695442199707,0.8111110925674438,0.8913043737411499,0.8560439348220825,0.8708333373069763,0.8708333373069763,0.1197916641831398,0.6255366802215576,0.22549153864383698,0.851028323173523,0.5990749597549438,0.21573275327682495,0.8148077726364136
21,0.8349830508232117,1.0,1.0,0.7739431262016296,0.8742276430130005,0.8136046528816223,0.7888888716697693,0.8923913240432739,0.8307692408561707,0.8583333492279053,0.8583333492279053,0.11302082985639572,0.608106791973114,0.21846216917037964,0.8265689611434937,0.7133575081825256,0.2283310741186142,0.9416882395744324
22,0.8133959174156189,1.0,0.9633566737174988,0.7347359657287598,0.8688737750053406,0.7656726241111755,0.8222222328186035,0.893478274345398,0.79340660572052,0.8427083492279053,0.8427083492279053,0.11874999850988388,0.603859543800354,0.21327835321426392,0.8171377778053284,0.749200165271759,0.22694358229637146,0.9761438965797424
23,0.8281100988388062,1.0,1.0,0.827911376953125,0.8553172945976257,0.8028383851051331,0.8444444537162781,0.8804348111152649,0.8417582511901855,0.8604166507720947,0.8604166507720947,0.11093749850988388,0.5991619825363159,0.21100600063800812,0.8101681470870972,0.7257392406463623,0.2207965850830078,0.9465356469154358
24,0.8206573724746704,1.0,0.9898927211761475,0.7121923565864563,0.8194323778152466,0.8321924209594727,0.7222222089767456,0.845652163028717,0.8505494594573975,0.8421875238418579,0.8421875238418579,0.12083332985639572,0.5993495583534241,0.20511183142662048,0.8044614195823669,0.7897853851318359,0.23788566887378693,1.027670979499817
25,0.8874710202217102,1.0,1.0,0.8245874643325806,0.922616183757782,0.866414487361908,0.8333333134651184,0.9423912763595581,0.8857142925262451,0.9104166626930237,0.9104166626930237,0.11874999850988388,0.5775167942047119,0.20165161788463593,0.7791683077812195,0.5728587508201599,0.1969977468252182,0.769856333732605
